Timestamp,Open,High,Low,Close,Volume,Converted_time
1600646400000,10906.16,10969.6,10894.72,10958.6,6.577688,2020-09-21 00:00:00.000000
1600650000000,10968.87,10972.48,10946.12,10946.17,5.877464,2020-09-21 01:00:00.000000
1600653600000,10949.27,10966.95,10939.99,10939.99,2.800066,2020-09-21 02:00:00.000000
1600657200000,10934.4,10963.89,10917.81,10963.89,1.954696,2020-09-21 03:00:00.000000
1600660800000,10971.94,10984.77,10956.21,10965.21,6.790143,2020-09-21 04:00:00.000000
1600664400000,10961.77,10961.77,10933.3,10952.21,8.664778,2020-09-21 05:00:00.000000
1600668000000,10974.05,10974.05,10940.74,10940.74,4.325033,2020-09-21 06:00:00.000000
1600671600000,10948.74,10948.74,10893.75,10893.75,5.601385,2020-09-21 07:00:00.000000
1600675200000,10902.99,10906.2,10800.0,10835.18,26.685112,2020-09-21 08:00:00.000000
1600678800000,10845.84,10853.23,10685.0,10693.03,29.282919,2020-09-21 09:00:00.000000
1600682400000,10700.17,10724.9,10635.0,10648.51,51.900033,2020-09-21 10:00:00.000000
1600686000000,10660.49,10678.97,10575.93,10634.89,31.200743,2020-09-21 11:00:00.000000
1600689600000,10621.34,10621.34,10498.07,10568.81,13.620932,2020-09-21 12:00:00.000000
1600693200000,10557.83,10628.86,10556.35,10592.92,8.70877,2020-09-21 13:00:00.000000
1600696800000,10579.17,10599.98,10281.34,10413.78,39.002651,2020-09-21 14:00:00.000000
1600700400000,10416.41,10442.87,10347.89,10413.65,25.430353,2020-09-21 15:00:00.000000
1600704000000,10406.07,10423.73,10347.52,10373.12,9.124957,2020-09-21 16:00:00.000000
1600707600000,10379.15,10417.98,10364.93,10397.45,6.357215,2020-09-21 17:00:00.000000
1600711200000,10395.89,10433.84,10375.69,10433.84,6.163777,2020-09-21 18:00:00.000000
1600714800000,10429.1,10496.68,10429.1,10496.68,7.0340929999999995,2020-09-21 19:00:00.000000
1600718400000,10484.83,10528.17,10470.52,10477.21,14.722984,2020-09-21 20:00:00.000000
1600722000000,10478.17,10524.86,10465.0,10523.67,3.446797,2020-09-21 21:00:00.000000
